sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,notes
CM221221,CM,rawWW,cpTP24h,,2022-12-20 00:00:00,2022-12-21 00:00:00,1,,Yes,
WB221221,WB,rawWW,cpTP24h,,2022-12-20 00:00:00,2022-12-21 00:00:00,1,,Yes,
RV221220,RV,rawWW,cpTP24h,,2022-12-19 00:00:00,2022-12-20 00:00:00,1,,Yes,
RV221221,RV,rawWW,cpTP24h,,2022-12-20 00:00:00,2022-12-21 00:00:00,1,,Yes,
RV221222,RV,rawWW,cpTP24h,,2022-12-21 00:00:00,2022-12-22 00:00:00,1,,Yes,
CB221220,CB,rawWW,cpTP24h,,2022-12-19 00:00:00,2022-12-20 00:00:00,1,,Yes,
CB221221,CB,rawWW,cpTP24h,,2022-12-20 00:00:00,2022-12-21 00:00:00,1,,Yes,
CB221222,CB,rawWW,cpTP24h,,2022-12-21 00:00:00,2022-12-22 00:00:00,1,,Yes,
KS221222,KS,rawWW,cpTP24h,,2022-12-21 00:00:00,2022-12-22 00:00:00,1,,Yes,
LT221221,LT,rawWW,cpTP24h,,2022-12-20 00:00:00,2022-12-21 00:00:00,1,,Yes,
LT221222,LT,rawWW,cpTP24h,,2022-12-21 00:00:00,2022-12-22 00:00:00,1,,Yes,
HB221221,HB,rawWW,cpTP24h,,2022-12-20 00:00:00,2022-12-21 00:00:00,1,,Yes,
HB221222,HB,rawWW,cpTP24h,,2022-12-21 00:00:00,2022-12-22 00:00:00,1,,Yes,
CM221228,CM,rawWW,cpTP24h,,2022-12-27 00:00:00,2022-12-28 00:00:00,1,,Yes,
CM221229,CM,rawWW,cpTP24h,,2022-12-28 00:00:00,2022-12-29 00:00:00,1,,Yes,
MB221222,MB,rawWW,cpTP24h,,2022-12-21 00:00:00,2022-12-22 00:00:00,1,,Yes,
MB221228,MB,rawWW,cpTP24h,,2022-12-27 00:00:00,2022-12-28 00:00:00,1,,Yes,
MB221229,MB,rawWW,cpTP24h,,2022-12-28 00:00:00,2022-12-29 00:00:00,1,,Yes,
RV221224,RV,rawWW,cpTP24h,,2022-12-23 00:00:00,2022-12-24 00:00:00,1,,Yes,
RV221225,RV,rawWW,cpTP24h,,2022-12-24 00:00:00,2022-12-25 00:00:00,1,,Yes,
RV221226,RV,rawWW,cpTP24h,,2022-12-25 00:00:00,2022-12-26 00:00:00,1,,Yes,
RV221227,RV,rawWW,cpTP24h,,2022-12-26 00:00:00,2022-12-27 00:00:00,1,,Yes,
CW221221,CW,rawWW,cpTP24h,,2022-12-20 00:00:00,2022-12-21 00:00:00,1,,Yes,
CB221223,CB,rawWW,cpTP24h,,2022-12-22 00:00:00,2022-12-23 00:00:00,1,,Yes,
CB221224,CB,rawWW,cpTP24h,,2022-12-23 00:00:00,2022-12-24 00:00:00,1,,Yes,
CB221225,CB,rawWW,cpTP24h,,2022-12-24 00:00:00,2022-12-25 00:00:00,1,,Yes,
CB221226,CB,rawWW,cpTP24h,,2022-12-25 00:00:00,2022-12-26 00:00:00,1,,Yes,
CB221227,CB,rawWW,cpTP24h,,2022-12-26 00:00:00,2022-12-27 00:00:00,1,,Yes,
CB221228,CB,rawWW,cpTP24h,,2022-12-27 00:00:00,2022-12-28 00:00:00,1,,Yes,
LT221223,LT,rawWW,cpTP24h,,2022-12-22 00:00:00,2022-12-23 00:00:00,1,,Yes,
LT221228,LT,rawWW,cpTP24h,,2022-12-27 00:00:00,2022-12-28 00:00:00,1,,Yes,
KS221226,KS,rawWW,cpTP24h,,2022-12-25 00:00:00,2022-12-26 00:00:00,1,,Yes,
RV221229,RV,rawWW,cpTP24h,,2022-12-28 00:00:00,2022-12-29 00:00:00,1,,Yes,
RV221230,RV,rawWW,cpTP24h,,2022-12-29 00:00:00,2022-12-30 00:00:00,1,,Yes,
RV221231,RV,rawWW,cpTP24h,,2022-12-30 00:00:00,2022-12-31 00:00:00,1,,Yes,
RV230101,RV,rawWW,cpTP24h,,2022-12-31 00:00:00,2023-01-01 00:00:00,1,,Yes,
RV230102,RV,rawWW,cpTP24h,,2023-01-01 00:00:00,2023-01-02 00:00:00,1,,Yes,
RV230103,RV,rawWW,cpTP24h,,2023-01-02 00:00:00,2023-01-03 00:00:00,1,,Yes,
CB221229,CB,rawWW,cpTP24h,,2022-12-28 00:00:00,2022-12-29 00:00:00,1,,Yes,
CB221230,CB,rawWW,cpTP24h,,2022-12-29 00:00:00,2022-12-30 00:00:00,1,,Yes,
CB230101,CB,rawWW,cpTP24h,,2022-12-31 00:00:00,2023-01-01 00:00:00,1,,Yes,
CB230102,CB,rawWW,cpTP24h,,2023-01-01 00:00:00,2023-01-02 00:00:00,1,,Yes,
